"addedOn","title","descriptionHtml","propertyType","sizeSqFeetMax","bedrooms","bathrooms","listingUpdateReason","price"
"18/09/2024","5 bedroom terraced house for sale in Cadogan Gardens, Chelsea, SW3","Cadogan Gardens has been exquisitely decorated by the renowned Alberto Pinto’s interior design team, with no detail left unturned.<br /><br />Due to its position, this striking house is flooded with light and lends itself perfectly to being both a family home and for entertaining on a grand scale. The house comprises a formal drawing room, sitting room, library and study as well as an impressive principal suite occupying the entire second floor of the five-storied townhouse and boasts a grand principal bedroom, dressing room and an en suite bathroom. Located on the third floor are three additional ensuite bedrooms and on the lower ground floor an intimate kitchen/breakfast room, media room and staff accommodation.","Terraced","6504","5","5","new","£16,950,000"
"16/05/2024","6 bedroom terraced house for sale in Chester Terrace, Regent's Park, London, NW1","This classical townhouse has recently been refurbished to the highest of specifications, offering glamorous, contemporary spaces ideal for entertaining and stylish family living. This exceptional family provides bright and spacious accommodation with six to seven bedrooms and excellent views over the Park. The mews to the rear have joined the main house to offer a unique and striking double-height family area with an open-plan kitchen and dining space. The property further benefits from a mezzanine study space, lift, gym, an additional private patio, and off street parking.<br /><br />*Please note that we have been unable to confirm the next review dates for the service charge/ground rent. You should ensure that you or your advisors make your own inquiries.<br /><br /><b><u>Additional Information</u></b><br /><b>Mobile Coverage:</b><br />Please look at the Ofcom website for more information<p><br />Chester Terrace is located on the Eastern boundary of Regent's Park's outer circle between Cumberland Terrace and Cambridge Terrace, and it is excellently positioned only a short distance from some of London's main attractions. Regent's Park offers various recreational facilities, including the world-famous Zoological Gardens, a restaurant, the open-air theatre, Queen Mary's Gardens, ZSL London Zoo, the boating lake and tennis courts. Whether you are enjoying a stroll or drifting along the canal, the vast greenery of Regent's Park in the heart of Central London has a magical feel. The property is easily accessible from London's main airports, including Heathrow (approx. 17.9 miles) and Luton Airport (approx. 31.7 miles). <br /><br />From the address, the property is well connected to the rest of London with local underground stations, including Regent's Park Underground Station and Great Portland Street Underground Station, both approx. 0.8 miles walking distance, these stations provide access to the Bakerloo Line and Hammersmith and City, Circle and Metropolitan Lines, respectively. Mayfair is a short journey away (approx. 13 minutes drive, 2 miles), where one can find an abundance of London's finest shops and restaurants.</p>","Terraced","4844","6","7","new","£16,950,000"
"Reduced on 28/10/2024","10 bedroom detached house for sale in Frognal, Hampstead, NW3","Situated in the heart of Hampstead and refurbished to a meticulous standard benefiting from original period details and contemporary interior design, Frognal is an impressive ten-bedroom lateral home offering a separate guest cottage and studio apartment extending to an approximate 6,071 sq ft. Securely gated with off-street parking for three cars, further benefits include a beautifully landscaped rear garden with heated outdoor swimming pool, underfloor heating, and high tech alarm system.<br />This historic detached residence dates back to the early 1800s and has a National Heritage Blue plaque commemorating Sir Harold Gillies, a former owner in 1882.","Detached","6071","10","10","price_reduced","£16,950,000"
"11/09/2024","2 bedroom apartment for sale in Woodland Rise, Muswell Hill, London, N10","This fabulous Edwardian two double bedroom split level Maisonette boasts approximately 900 square feet and is located in one of Muswell Hill's most prestigious tree lined roads featuring the share of freehold and open plan living.<br /><br />EPC - D<br /><br />This is a wonderful opportunity to live in a sought-after location and enjoy the lovely high ceilings and sense of space that come with Edwardian conversions. This home has a generous living room on the upper ground floor with an open plan kitchen, and not to mention the whole property has been renovated to a high standard with bespoke shutters throughout on both the ground and raised ground floors.<br /><br />On the ground floor are two double bedrooms with the master having bespoke wall-length fitted wardrobes and a modern family bathroom, together with a hugely handy utility and storage room.<br />This home enjoys a share of the freehold.<br /><br />Woodland Rise is a desirable tree lined road that leads up to the beautiful Highgate Woods, with its playing fields, cafe and playground. Highgate Underground (Northern Line) is a walk or short bus ride one way, and Muswell Hill Broadway with its fine array of independent shops, cafes, restaurant and cinema the other.<br /><br />EPC – D<br />Council Tax Band - E<br />SC- N/A<br /><br />","Apartment","900","2","1","new","£725,000"
"Reduced on 31/10/2024","4 bedroom terraced house for sale in Chester Square, London, SW1W","An immaculate Grade II Listed family house located in this quiet Belgravia square.<br /><br /><b>Description</b><br /><br />This charming Grade II Listed period house is located in the North East corner of the square, facing South over the private gardens to which residence enjoy access. <br />The property is arranged over lower ground, ground and four upper floors, together with a mews to the rear which provides garaging for two cars, plus additional parking in the mews. <br />There is a passenger lift which serves all floors. <br />The property has been well maintained by the current owner, and is presented in immaculate condition throughout. The upper floors previously comprised an additional two bedrooms, which could be reinstated if required. There is a high level of specification, including air conditioning, Lutron lighting and a sound system.<br /><br /><br /><br />","Terraced",,"4","3","price_reduced","£16,950,000"
"25/06/2024","6 bedroom detached house for sale in Acacia Road, St. John's Wood, London, NW8","A truly unique opportunity to create your own new build luxury residence, of which the main structure of the house has already been built to shell and core.<br />In a prime London location on the favoured east side of St. John's Wood.<br />Comprising a gross internal area of up to 933 Square Metres / 10,041 Square Feet on a plot of 0.2 acres with a carriage drive and south facing garden.<br /><br />THE PROPERTY<br /><br />A rare and highly sought-after consent was secured for complete demolition and new build of a 10,000 sq.ft. private residence, allowing you to create an uncompromised living experience to your own specification with a first class professional team already in place.<br /><br />The proposed accommodation could comprise:<br /><br />• Principal Bedroom Suite with Private Terrace & Ante Room<br />• Double Dressing Room<br />• Up to Eight Further Bedrooms with En-Suite Bathrooms<br />• Spa & Gym with Roof Terrace<br />• Guest WC & Coat Room<br />• Boot Room with Separate Entrance<br />• Kitchen with Separate Pantry<br />• Sitting Room<br />• Library<br />• Drawing Room<br />• Dining Room<br />• Office<br />• Wine Room<br />• Art Studio<br />• Yoga Studio<br />• 10m Swimming Pool with Steam and Sauna<br />• Meeting Room<br />• Cinema<br />• Utility Room with Second Kitchen<br />• Safe Room<br />• Gated Carriage Drive<br />• South Facing Garden<br />• Lift<br />• New Build Exempt from VAT<br /><br />ENTERTAIN<br /><br />The house benefits from a wealth of natural light from several sky lights together with the three large french doors that connect the house to the south facing garden. <br />The connectivity of the ground floor rooms allows a natural flow from the reception room to the dining room, while the library delivers the opportunity for a second study or Gentleman's club style retreat.<br />The kitchen offers space for a substantial island with counter stools and a banquette seating area. Leading on to the sitting room for a more relaxed family interaction.<br /><br />LIFESTYLE<br /><br />Each room has been thoughtfully designed, with exceptional attention to detail.<br />Including a peaceful sanctuary at the top of the house offering complete privacy and open air.<br />Complimented by a yoga studio & a wine room to enjoy all aspects of life.<br />An art studio designed to inspire with 3 metre ceiling heights, offering a tranquil environment.<br />An office and a meeting room with a separate entrance to host privately.<br />Leisure facility complete with a sauna, a steam room and a 10 metre swimming pool.<br /><br />COMFORT<br /><br />With views over the garden, the principal bedroom suite has a private south facing terrace to enjoy a morning coffee. <br />An en-suite bathroom with sectioned facilities and a double dressing room providing absolute comfort.<br /><br /><br />LOCATION<br /><br />A neighbourhood renowned as one of the most affluent parts of London, St. John's Wood is characterised by prime residential properties, where the best houses can achieve prices in excess of £3,000 per sq ft. The area has enjoyed strong sustained growth in demand from both domestic and overseas purchasers attracted by the quality of housing stock and the excellent educational facilities including the American School London.<br />Number 14 is on the desirable East side and at the favoured South facing side of Acacia Road. A number of world famous landmarks are located nearby including the Abbey Road Studios and Lord’s Cricket Ground & The American School of London. <br />St. John’s Wood High Street is approximately 0.2 miles away offering an array of boutique shops, restaurants and cafes. The excellent amenities of Marylebone, Mayfair and the West End are easily accessible via road or underground.<br />Regent's Park (0.4 miles south east) and Primrose Hill (0.6 miles east) provide a range of leisure facilities including formal gardens, sports facilities and an open air theatre.<br /><br /><br />","Detached","10041","6","6","new","£14,500,000"
"Reduced on 30/08/2024","6 bedroom detached house for sale in Winnington Road, N2","A new mansion of approximately 10,000 sq ft (929 sq m) designed and finished to an exemplary standard incorporating every conceivable facility and luxury.<br /><br />This impressive newly built mansion for sale  is situated in the heart of one of the area's most sought after locations. Set behind a sweeping carriage driveway, this beautiful home incorporates some of the finest bespoke fittings, together with state of the art technology, including air conditioning and under floor heating. The property also incorporates an incredible leisure complex including a large swimming pool, a gymnasium and a steam room. Other facilities include a fully equipped cinema/media room, a full air conditioning system together with under floor heating throughout.<br /><br />Drawing room, family room, dining room, study/home office, Schiffini kitchen with Gaggenau Appliances, elegant triple height entrance hall, master bedroom suite with his and hers dressing rooms, 6 further bedroom suites, staff accommodation/bedroom 8 with en suite shower room, leisure complex which includes a steam room, gymnasium, reception hall and a swimming pool, fully equipped cinema and media room, service/staff kitchen, utility room, double garage, off-street parking, landscaped front and rear gardens with a full irrigation system.<br /><br />This house for sale on Winnington Road is the epitome of luxury living. With its incredible facilities and bespoke fittings, this property offers an unparalleled level of comfort and sophistication. Get in touch with Glentree right now to set up a viewing of this magnificent London property that is currently on the market.<br /><br /><b>Rear Ext</b> - <br /><br /><b>Cinema</b> - <br /><br /><b>Garden</b> - <br /><br />","Detached","10086","6","7","price_reduced","£15,500,000"
"25/07/2024","6 bedroom terraced house for sale in Chester Square, London, SW1W","A Superb White Stucco Fronted Georgian Residence, Spanning 4,260 Sq Ft (395.8 Sq Meters).<br /><br />The owner has meticulously refurbished this home over the years, whilst keeping many of the ornate period features. <br /> <br />The Ground Floor & First Floor of this home has wonderful entertaining spaces, an abundance of natural light entering the property from both sides, with over 3 meter ceiling heights and beautiful period cornicing details providing a feeling of grandeur.<br /><br />The Ground Floor consists of a stunning bespoke Clive Christian Kitchen with integrated Miele and Gaggenau appliances, and an expansive Dining Room. A guest powder room is also located on this floor.<br /><br />The Grand Reception Room (32.4 Ft x 18.4 Ft) on the first floor benefits from south facing french doors opening onto the private residents manicured lawn gardens of Chester Square. A connecting central room is used as an office and opens up into a cocktail bar area. The french doors on the other side of the reception room lead to the high quality timber-decked terrace measuring 21.8 Ft x 18.4 Ft.  <br /><br />The principal bedroom spans the entire second floor, boasting high quality custom-built bespoke joinery, with floor-to-ceiling wardrobes and large en-suite bathroom with bath-tub & shower.<br /><br />There are an additional four guest bedrooms on the third & fourth floors, four bathrooms (two en-suite) with all bathrooms benefitting from having a bath-tub.<br /><br />The lower ground floor features a gymnasium including a shower room (which could easily be configured into a guest/staff bedroom), cinema room, utility room, storage vault and double garage (a third vehicle can park directly outside the garage).  There is further storage space under the garage.<br /><br />Lutron lighting system, air conditioning throughout, and underfloor heating in all bathrooms.<br /><br />Chester Square is a very sough-after residents square in this tranquil part of Belgravia, many notable residents including the former United Kingdom Prime Ministe<br /><br />","Terraced","4660","6","7","price_reduced","£13,750,000"
"26/09/2024","7 bedroom semi-detached house for sale in Hamilton Terrace, St John's Wood,NW8","This Grade II listed, semi-detached ambassadorial residence is nestled on the west side of St John’s Wood, along one of the area’s most desirable avenues. Spanning 8,229 sq. ft and including the original coach house, this Victorian home offers generous proportions and comfortable living accommodation, featuring 7 spacious bedrooms and magnificent reception rooms, exuding elegance and sophistication.<br /><br />One of the property's standout features is the beautifully manicured rear garden, extending 150 feet and offering a rare oasis of tranquility in the heart of central London. The property also benefits from secure gated off-street parking for several cars, plus a separate double width garage, with direct access via the garden and Marlborough Place. <br /><br />Hamilton Terrace is superbly located for the boutiques, cafes, restaurants, and transport facilities of St John's Wood High Street and Maida Vale, including St John's Wood Station (Jubilee Line) and Maida Vale Station (Bakerloo Line). It is also within walking distance to the canal in Little Venice and open spaces of Regent's Park and Paddington Recreation Ground.<br /><br />Entrance Hall, Reception Room, Drawing Room, Study, Library, Play Room/Bedroom, Dressing Room, Cinema, Gym, Kitchen, Breakfast Room, Utility Room, Principal Bedroom Suite with En-Suite Shower Room and Bathroom, Dressing Room, A Further Six Bedrooms, A Further Five Bathrooms, Shower Room, Secure Off Street Parking for Several Cars Behind Electric Gates, Double Garage.<br /><br />","Semi-Detached","8229","7",,"new","£15,495,000"
"01/10/2024","7 bedroom detached house for sale in Winnington Road, London, N2","<p>63 Winnington Road is an important detached freehold family home of approximately 10,000 Sq. Ft, occupying a prime position in this internationally renowned avenue.</p><br /><p>Elevated and set well back from the road behind electric gates and a deep sweeping carriage driveway with double garage, an elegant family home with accommodation over just 3 floor, facing Hampstead Golf Course.</p><br /><p>Previous planning permission, for a spectacular new mansion of circa 20,000 Sq. Ft. Permission & consents required, drawings available on request.</p>","Detached",,"7",,"new","£13,750,000"
"31/05/2024","3 bedroom apartment for sale in Eaton Square, Belgravia, London, SW1W, United Kingdom, SW1W","Arranged over the third and fourth floors of one of the beautiful white stucco buildings in Belgravia this wonderful apartment is exceptionally light. Set in the Grade II*-listed building, the apartment has verdant views of Eaton Square gardens. A balcony runs across the front of the apartment from the reception, while a roof terrace crowns the duplex property. The apartment has direct lift access, three bedrooms and four bathrooms.<br /><br />Entry is to a long central corridor, which leads to the reception room, the kitchen and the dining room. In the kitchen, sleek white cabinetry reflects light, while a handy island has space for stools to be placed underneath. Next door, the dining room leads through to the large reception with views of Eaton Square from a large balcony; cornicing runs the perimeter of the room, while a marble fireplace adds grandeur. <br /><br />On the upper floor, the principal bedroom has a luxurious ensuite, accessed by a dressing room. The other two bedrooms are generous doubles and have ample storage; a Juliet balcony leads from the main bedroom and a second bedroom.  A roof terrace crowns the property.<br /><br />Eaton Square is an elegant Grade-II listed residential square in the heart of London, 0.8 miles from Victoria Station, where there are Underground and mainline services, including a rapid connection to Gatwick Airport. Elizabeth Street is nearby, while Sloane Square Underground station is just 0.3 miles away, along with the King's Road and Sloane Street. The expansive green spaces of Hyde Park to the north, Green Park and St James's Park to the east.","Apartment","2524","3","3","new","£13,750,000"
"Reduced on 21/10/2024","5 bedroom house for sale in Gilston Road, Chelsea, London, SW10","An exceptional family house on the west side of Gilston Road in the sought-after Boltons Conservation Area.  With impressive lateral accommodation spanning nearly 34’ ft, this low-built house is beautifully proportioned, with three large reception spaces, five/six bedrooms and an expansive west facing private garden.<br /> <br />There is an impressive kitchen, dining and living area across the full width of the property at lower ground floor level, with direct access to the garden.  A superb terrace is located at raised ground floor level accessed via the reception rooms and with views of the private garden.  To the front of the house is gated access to secure off-street parking for at least two cars. <br /> <br />Gilston Road is considered one of Chelsea's best addresses, running South off The Boltons.  The houses are predominantly white stucco fronted, set back on this pretty tree lined road.  The house is approximately 100 meters from the communal gardens of the Boltons itself for which it is possible to gain access (by separate negotiation).<br /><br /><b>Entrance Hall</b> - <br /><br /><b>Reception Room</b> - <br /><br /><b>Sitting Room</b> - <br /><br /><b>Kitchen Breakfast Room</b> - <br /><br /><b>Dining Room</b> - <br /><br /><b>Study/Bedroom 6</b> - <br /><br /><b>Principal Bedroom Ensuite</b> - <br /><br /><b>Bedroom 2 With Ensuite Bathroom</b> - <br /><br /><b>Bedroom 3</b> - <br /><br /><b>Bedroom 4</b> - <br /><br /><b>Bedroom 5</b> - <br /><br /><b>Family Bathroom</b> - <br /><br />","House","4112","5","3","price_reduced","£13,850,000"
"Reduced on 22/10/2024","6 bedroom terraced house for sale in Gilston Road, London, SW10","An exceptional family house on the west side of Gilston Road in the sought-after Boltons Conservation Area.<br /><br /><b>Description</b><br /><br />With impressive lateral accommodation spanning nearly 34’ ft, this low-built house is beautifully proportioned, with three large reception spaces, five/six bedrooms and an expansive west facing private garden.<br /><br />There is an impressive kitchen, dining and living area across the full width of the property at lower ground floor level, with direct access to the garden.  A superb terrace is located at raised ground floor level accessed via the reception rooms and with views of the private garden.  To the front of the house is gated access to secure off-street parking for at least two cars.<br /><br />Gilston Road is considered one of Chelsea's best addresses, running South off The Boltons.  The houses are predominantly white stucco fronted, set back on this pretty tree lined road.  The house is moments from the communal gardens of the Boltons itself for which it is possible to gain access (by separate negotiation).<br /><br /><b>Location</b><br /><br />The house is located within the exclusive Bolton’s Conservation Area and is conveniently located for the extensive amenities of Fulham Road and Brompton Road. The house is approximately 100m from the communal gardens of The Boltons, for which it is possible to gain access (by separate negotiation). <br /><br />Local transport connections are conveniently found at Gloucester Road underground station (0.6 miles approx.), South Kensington underground station (0.7 miles approx.) and Earls Court underground station (0.7 miles approx.) and bus connections can be found on the Fulham Road and Brompton Road.<br /><br />Square Footage: 4,112 sq ft<br /><br /> <br /><br /><b>Additional Info</b><br /><br />Local Authority: Royal Borough of Kensington & Chelsea<br />Council Tac: Band H","Terraced","4112","6","3","price_reduced","£13,850,000"
"10/05/2024","8 bedroom house for sale in Cheyne Place, Chelsea, SW3","9 Cheyne Place is a late Victorian mid-terraced property fronting onto Royal Hospital Road with spectacular south facing views over the Chelsea Physic Garden and across to the River Thames.<br /><br />This substantial property was significantly extended in 2013/2014 to meet the needs of and create a large family home. <br /><br />The design has been carefully thought out to include rear extensions on the ground and upper floors and additional lower ground floor accommodation including a large family utility room, wine cellar, gym, media room and a self-contained staff flat. <br /><br />The attention to detail throughout in maximising both light and space is phenomenal. As an example, the floor levels have been adjusted to enable brighter living space with better connection with the rear garden including full height glazing and doors leading onto the 41ft garden. Additional roof lights were included in the design to offer natural lighting to the first basement level. <br /><br />Family living was at the forefront of the design, with a large 42ft reception room on the ground floor leading onto the large (c. 41ft) private garden. <br /><br />The lift provides access to five floors throughout the house, including all the main family and entertaining rooms, guest accommodation and the first-floor formal drawing room. The principal bedroom suite, complete with a separate dressing room is located one floor above occupying the whole of the second floor. There are four/ five additional family bedrooms on the upper floors with the majority having their own bathrooms and separate home-working/ family studies. <br /><br />On the sub-basement level, there is a gym, complete with a shower room and steam room, a wine cellar and a substantial utility room measuring c. 20ft. On the basement floor, with carefully designed natural light, there is the media room and a self -contained staff flat and on the lower ground floor, with its own private entrance, there is the guest bedroom with an en-suite bathroom.<br /><br />The nearest underground stations are Sloane Square and South Kensington with bus stops located on Royal Hospital Road within close walking distance.  Sloane Square and the King's Road are just a short walk away with some of London's most famous retail shopping, restaurants, cafés, and bars.<br /><br />","House","7212","8","6","new","£13,950,000"
"28/10/2024","3 bedroom flat for sale in Cork Street, Mayfair, W1S","A stunning, three-bedroom penthouse apartment with private terracing, parking, and amenities.<br /><br />Cork Street is part of the Burlington Estate, which was developed from the 18th Century. The first Earl of Burlington was Richard Boyle (16121698), second Earl of Cork; hence the street name. Well located between Saville Row and Old Bond Street, this development is in the centre of Mayfair's Art Gallery district and close to the finest boutiques and Michelin star restaurants.<br /><br />","Flat","2680","3","4","new","£13,950,000"
"23/11/2023","Town house for sale in Mansfield Street, London, W1G","• 18th century Grade II* listed Robert Adam townhouse.<br /><br />• The property is currently laid out as an office space totalling 12,221 sq.ft.<br /><br />• Subject to planning, there is an opportunity to turn it into a one of-a-kind home.<br /><br />• The property is offered with a new 250-year lease by Howard de Walden Estate.<br /><br />• Available with full vacant possession.<p><br />Mansfield Street is one of Marylebone's most desirable streets; it parallels Harley Street and its world-renowned healthcare providers. It is only moments away from the vibrant shops and restaurants of Marylebone Village, whilst the greenery of Regent's Park is also within proximity.<br /><br />With its timeless beauty and rich heritage, Mansfield Street has attracted discerning buyers and investors from around the world, making it an exclusive and coveted address. The picturesque surroundings, coupled with the convenience of city living, make this location a prime choice for those seeking the very best of London's offerings.</p>","Town House","12221",,,"new","£13,950,000"
"25/06/2024","5 bedroom property for sale in Chelsea Waterfront - Tower West, SW10","<div><br /><p>Trophy 5-bed apartment at the 31st floor of a high spec building with breathtaking views across the River Thames and the London Skyline. Great for living, investing, or just a lock-up-and-go pied-a-terre located on an envious position next to Chelsea Harbour. </p><br /><p><strong>Full Floor Hi-Rise Apartment with Panoramic River Thames Views</strong></p><br /><ul><li><strong>5-Bedroom Apartment = £13,858,000</strong></li><li><strong>--</strong></li></ul><br /><p><strong>Chelsea’s tallest homes built as a beacon for elegance and refinement. </strong>The strikingly impressive sight of The Towers created a new landmark on the north bank of the Thames. The height of luxury with an exceptional landscaped setting on 600m of waterfront.</p><br /><p>Chelsea’s highest luxury residencies 37 defining stories. Sir Terry Farrell’s architectural master piece is already admired by the world and home to the privileged few – innovative design, sophisticated materials, exceptional poise, provide the most unique building in London with only 1, 2 or 3 apartments per floor, maximising living space and privacy.</p><br /><p>The metropolitan skyline with centuries of evolution span traditional classic to technological modernity. Views sweep dramatically from the bright lights of Canary Wharf in the east of London to Chelsea Bridge in the west and beyond.</p><br /><p><strong>Everything you need to relax and impress. </strong>From the ultimate sense of arrival to impeccable care and warmth, you and your guests will always be exceptionally<br /><br />well looked after. At The Towers your every need will be met. Simply call on the highly trained 24-hour Harrods International concierge team for supreme standards of service at any time, 365 days a year. From the spectacular staffed lobby they can help with any requirement, from house management to more individual requests from dry leaning to theatre tickets. So you can rest assured that your life and living space will receive the meticulous attention they deserve.</p><br /><p><strong>Unwind and rejuvenate in your own exclusive oasis.</strong> Inside the health and fitness suite, sculptured pool, atmospheric spa, sauna, steam room and state of the art gym you will be surrounded by imaginative luxury. Conceived by interior designers KCA who work internationally through London, Dubai and Hong Kong. From royal palaces to luxurious lofts and penthouses and yachts, their interiors are the ultimate in comfort, discretion and style with every handcrafted feature individually designed for an unequalled finish that is truly all-encompassing.</p><br /><p>Bridging Chelsea’s traditional values with contemporary aspirations. Against the dramatic backdrop of the Thames, The Towers will compliment the historic surroundings.</p><br /><p><strong>A perfect location central to London life. </strong>At the heart of everything, Chelsea Waterfront is within minutes of all that London has to offer – high art, fine fashion, sophisticated restaurants and discrete clubs.</p><br /><p>First class connections to London’s extensive transport network by land, water and air means easy access for local or international travel. With riverboat, taxi, trains, tubes and helicopters on your door step – travelling is all about the luxury of choice.</p><br /><p><strong>Contact us today for more information.</strong></p><br /></div>","Not Specified",,"5","5","new","£13,858,000"
"Reduced on 05/02/2024","4 bedroom apartment for sale in 10 Park Crescent, London, W1B","The elegantly designed apartment presents a generous 4735 sq ft (439.9 sq m) of living space featuring four double bedroom and a beautiful roof terrace. The reception room and principal bedroom benefit from 4 metre ceiling heights and floor to ceiling sash windows offering an abundance of light, green views and ample space.<br /><br />This apartment is within London's only royal crescent with its own roof terrace, access to eight acres of private gardens and is well-managed by a dedicated concierge. The interior is beautifully designed with the highest of specifications providing a turn-key home available for immediate occupation.<br /><br />The affluent district offers an abundance of local facilities such as boutiques, international cuisine, medical practices, educational institutions and luxury homes. Famous shopping streets like Bond Street, Oxford Street, Regent Street, and Marylebone High Street are within walking distance, along with Regent's Park. Nearby underground stations provide access to the Bakerloo, Circle, Hammersmith and City and Metropolitan lines, while mainline connections can be reached through Marylebone Station and Euston Station.","Apartment","4735","4","4","price_reduced","£13,950,000"
"25/10/2024","3 bedroom apartment for sale in The OWO, Whitehall, London, SW1A","Discover an unparalleled living experience in this stunning three-bedroom plus study lateral apartment, located on the third floor of The OWO development. Once home to The Old War Office, this residence spans 2,618 sq ft and offers a unique blend of historic elegance and modern sophistication.   <br /><br />The apartment features a large galley-style kitchen that seamlessly flows into an open-plan reception and dining room, creating an expansive area ideal for entertaining and relaxation. Adjacent to the living area is a dedicated study, perfect for a home office or an additional private retreat.<br /><br />The principal bedroom is a sanctuary of luxury, featuring a spacious en suite with a double vanity, a large standalone bath, and an expansive dressing area. The second and third bedrooms are equally impressive, each with built-in wardrobes and en suite bathrooms, ensuring comfort and privacy for all residents.<br /><br />A guest WC and a convenient cupboard for services are located in the entrance hallway.<br /><br />-<br /><br />The OWO is a landmark Grade II*-listed Edwardian baroque building situated in the heart of London on Whitehall and opposite Horse Guards. Formerly home to the Ministry of Defence, the building was once the office of great statesmen such as Winston Churchill and Lord Haldane and was the inspiration for writer Ian Fleming for his James Bond 007 spy stories. <br /><br />The OWO is being meticulously brought back to life to create a new destination for central London, moments from the Royal Park of St. James's, Buckingham Palace, Westminster Abbey, Houses of Parliament and Downing Street, all of which are a short walk away. <br /><br />85 branded residences <br />-<br />120 Raffles hotel rooms<br />-<br />11 on-site restaurants and bars<br /><br />Key features include:<br />•	120-key Raffles Hotel – the first in the UK<br />•	Collection of 11 restaurants and bars<br />•	85 Raffles Branded Residences (up to 5 bedrooms)<br />•	Unique features to each residence including ceiling heights from 3m – 4.4m<br />•	30,000 sq ft of dedicated residents-only amenity spaces<br />•	Private landscaped Residents' garden<br />•	20m swimming and separate vitality pool<br />•	24-hour security and concierge<br />•	Valet, secure underground parking and storage units<br />•	All residences serviced and managed by the Raffles team<br />•	Exclusive membership of Raffles Diamond Club<br /><br />-<br /><br />*All images are for illustrative purposes only and may be from a similar apartment<br /><br /><b><u>Additional Information</u></b><br /><b>Mobile Coverage:</b><br />Please look at the Ofcom website for more information<p><br />The OWO is perfectly positioned in the heart of London on Whitehall, opposite Horse Guards and moments from iconic landmarks such as St. James's Park, Buckingham Palace, Westminster Abbey, Houses of Parliament, and Downing Street.</p>","Apartment","2618","3","4","new","£13,950,000"
"07/09/2024","3 bedroom penthouse for sale in Cork Street, Mayfair, London, W1S","Located in the heart of Mayfair, Burlington Gate provides elegant and modern living for the 42 apartments. Served by a 24-hour porter and concierge team, this immaculate building benefits from a spa and gym area serviced by Bodyism, as well as a residents' lounge on the first floor, and underground, secure parking.<br /><br />Set on the upper floors of this newly constructed contemporary building, this west-facing duplex penthouse apartment offers the most elegant and stylish living, designed by the renowned British architectural firm, Rogers Stirk Harbour + Partners. Accessed via the 7th floor of the building, one is swept into the 47 ft long open plan kitchen/reception room which is bathed in natural light from the floor to ceiling windows and gives access to the terrace areas. This is a truly impressive room showcasing west-facing views over the rooftops of Mayfair and beyond. Tucked off the main living space is the study/TV area, giving the opportunity to either work from home or alternatively use the space as a 'den'.<br /><br />The staircase leading off the main entrance area takes you to the bedrooms upstairs. There are two guest bedrooms, both with en suites that offer direct access to the west-facing terrace area as well as a generous laundry/utility room. The principal bedroom has its own separate terrace area and also features a large dressing area and a sleek, modern bathroom. This penthouse apartment also benefits from two parking spaces in the underground carpark.<br /><br /><b><u>Additional Information</u></b><br /><b>Mobile Coverage:</b><br />Please look at the Ofcom website for more information<p><br />Cork Street is one of London's most sought-after addresses, tucked in behind Regent Street and located just moments from the Royal Academy of Arts, the Burlington Arcade and the world-famous shopping of Savile Row or Bond Street.  The area is dominated by world-class hotels, restaurants and private members' clubs, and is the perfect place to be based when in London. Local tube, bus and taxi links are available within close proximity.</p>","Penthouse","2641","3","3","new","£13,950,000"
