danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,Id
0.8959999999999999,0.691,1,-7.403,1,0.369,0.0118,0.0,0.0883,0.665,189.88,audio_features,1lKQIxQDnLKoFhNWwMFiho,spotify:track:1lKQIxQDnLKoFhNWwMFiho,https://api.spotify.com/v1/tracks/1lKQIxQDnLKoFhNWwMFiho,https://api.spotify.com/v1/audio-analysis/1lKQIxQDnLKoFhNWwMFiho,152398,4,Underground Rap,First Day Out,,,6863
0.4320000000000001,0.962,2,-5.834,1,0.13,0.00193,0.162,0.63,0.124,138.01,audio_features,6xyHjM4VecIRZDUldiiBA5,spotify:track:6xyHjM4VecIRZDUldiiBA5,https://api.spotify.com/v1/tracks/6xyHjM4VecIRZDUldiiBA5,https://api.spotify.com/v1/audio-analysis/6xyHjM4VecIRZDUldiiBA5,219085,4,trance,,8997.0,Uplifting | Trance,30452
0.6859999999999999,0.6920000000000001,0,-5.573,0,0.3229999999999999,0.482,0.0,0.1689999999999999,0.649,173.78,audio_features,1rZvU5sb2E8LuJTAqEdAiw,spotify:track:1rZvU5sb2E8LuJTAqEdAiw,https://api.spotify.com/v1/tracks/1rZvU5sb2E8LuJTAqEdAiw,https://api.spotify.com/v1/audio-analysis/1rZvU5sb2E8LuJTAqEdAiw,269357,3,Underground Rap,Funky Ho'$,,,8111
0.441,0.8909999999999999,7,-2.873,0,0.037,0.0177,0.815,0.184,0.0353,175.007,audio_features,1TDjiNBekgMInzoNZxYi0D,spotify:track:1TDjiNBekgMInzoNZxYi0D,https://api.spotify.com/v1/tracks/1TDjiNBekgMInzoNZxYi0D,https://api.spotify.com/v1/audio-analysis/1TDjiNBekgMInzoNZxYi0D,319851,4,dnb,,15264.0,Liquid Drum & Bass,36665
0.376,0.8759999999999999,4,-2.695,0,0.1009999999999999,0.0345,0.0,0.125,0.25,202.082,audio_features,79fspqGOIP7FInu1elXhVX,spotify:track:79fspqGOIP7FInu1elXhVX,https://api.spotify.com/v1/tracks/79fspqGOIP7FInu1elXhVX,https://api.spotify.com/v1/audio-analysis/79fspqGOIP7FInu1elXhVX,222442,4,Dark Trap,Miss U,,,4428
0.73,0.79,9,-4.711,1,0.1669999999999999,0.36,0.0,0.115,0.526,160.116,audio_features,2Ell8LRPEMkB3DGWHD7N18,spotify:track:2Ell8LRPEMkB3DGWHD7N18,https://api.spotify.com/v1/tracks/2Ell8LRPEMkB3DGWHD7N18,https://api.spotify.com/v1/audio-analysis/2Ell8LRPEMkB3DGWHD7N18,213107,4,Dark Trap,Zero,,,1433
0.7290000000000001,0.4579999999999999,11,-8.681000000000001,1,0.124,0.1939999999999999,7.57e-05,0.0961,0.317,157.99,audio_features,7qFhAfUbytgPIVz4TYb3hT,spotify:track:7qFhAfUbytgPIVz4TYb3hT,https://api.spotify.com/v1/tracks/7qFhAfUbytgPIVz4TYb3hT,https://api.spotify.com/v1/audio-analysis/7qFhAfUbytgPIVz4TYb3hT,280267,4,RnB,Do U Wrong (feat. Syd),,,18026
0.608,0.789,8,-2.971,1,0.335,0.00105,3.08e-05,0.0884,0.386,172.093,audio_features,2LQTHb4rEtKpxQgeqdesmc,spotify:track:2LQTHb4rEtKpxQgeqdesmc,https://api.spotify.com/v1/tracks/2LQTHb4rEtKpxQgeqdesmc,https://api.spotify.com/v1/audio-analysis/2LQTHb4rEtKpxQgeqdesmc,141867,4,Hiphop,Just Another Day,,,21115
0.607,0.544,11,-7.117999999999999,0,0.0246,0.00614,0.967,0.929,0.18,199.96,audio_features,4dnlu2YAKNqxFOQueFKZzL,spotify:track:4dnlu2YAKNqxFOQueFKZzL,https://api.spotify.com/v1/tracks/4dnlu2YAKNqxFOQueFKZzL,https://api.spotify.com/v1/audio-analysis/4dnlu2YAKNqxFOQueFKZzL,220455,4,Dark Trap,Tidal,,,3109
0.472,0.952,1,-3.2710000000000004,1,0.103,0.00021,0.356,0.426,0.373,175.033,audio_features,5nu8Ss7Y0faZUghs095amn,spotify:track:5nu8Ss7Y0faZUghs095amn,https://api.spotify.com/v1/tracks/5nu8Ss7Y0faZUghs095amn,https://api.spotify.com/v1/audio-analysis/5nu8Ss7Y0faZUghs095amn,260599,4,dnb,,17265.0,Drum and Bass - 2015 to 2020,38645
0.71,0.97,11,-2.958,0,0.0601,0.00731,0.0147,0.0841,0.496,149.997,audio_features,5f5qZSlK1skd1zPqetGZfP,spotify:track:5f5qZSlK1skd1zPqetGZfP,https://api.spotify.com/v1/tracks/5f5qZSlK1skd1zPqetGZfP,https://api.spotify.com/v1/audio-analysis/5f5qZSlK1skd1zPqetGZfP,219887,4,trap,,13210.0,HEADBANGERS:Dubstep/Riddim,34623
0.366,0.601,8,-7.724,0,0.0429,0.0122,0.938,0.122,0.0381,120.031,audio_features,1AU6XWoKia2VNwfUuXN1J7,spotify:track:1AU6XWoKia2VNwfUuXN1J7,https://api.spotify.com/v1/tracks/1AU6XWoKia2VNwfUuXN1J7,https://api.spotify.com/v1/audio-analysis/1AU6XWoKia2VNwfUuXN1J7,230034,4,Dark Trap,Half Light,,,2879
0.5539999999999999,0.792,8,-4.678999999999999,1,0.105,0.001,0.0,0.182,0.0581,140.067,audio_features,7lmV0rq1zUaIZYIAFU011X,spotify:track:7lmV0rq1zUaIZYIAFU011X,https://api.spotify.com/v1/tracks/7lmV0rq1zUaIZYIAFU011X,https://api.spotify.com/v1/audio-analysis/7lmV0rq1zUaIZYIAFU011X,144586,4,Trap Metal,Archangel,,,10874
0.6779999999999999,0.355,11,-10.102,0,0.0354,0.6759999999999999,0.17,0.0912,0.158,161.964,audio_features,7wch5iJo4JFtmrRfPVUBr1,spotify:track:7wch5iJo4JFtmrRfPVUBr1,https://api.spotify.com/v1/tracks/7wch5iJo4JFtmrRfPVUBr1,https://api.spotify.com/v1/audio-analysis/7wch5iJo4JFtmrRfPVUBr1,183648,4,Pop,Youth Memories,,,18206
